analysis_type,roi_index,roi_label,comparison,coefficient,p_value,p_value_fdr,cohens_d,mean_difference,change_difference,active_change_mean,sham_change_mean,p_value_active_vs_zero,p_value_sham_vs_zero
standard,0,Retrocalcarine cortex RH,baseline,drift_0,0.6781225371830646,1.0,-0.14817727686250853,-0.0024756828409102094,,,,,
standard,0,Retrocalcarine cortex RH,baseline,drift_1,0.030147758930574912,1.0,0.8047058603400502,0.0094006000793482,,,,,
standard,0,Retrocalcarine cortex RH,baseline,diffusion,0.2728661724371561,1.0,0.39491453744231886,0.022983415727895,,,,,
standard,0,Retrocalcarine cortex RH,stimulation,drift_0,0.740144029609965,1.0,-0.11835149779773874,-0.0019872754450953115,,,,,
standard,0,Retrocalcarine cortex RH,stimulation,drift_1,0.8286197557907057,0.9832058284237342,-0.07720535142076626,-0.0008184832703415123,,,,,
standard,0,Retrocalcarine cortex RH,stimulation,diffusion,0.6052025964846927,1.0,-0.18470958115182654,-0.007502670123764807,,,,,
standard,0,Retrocalcarine cortex RH,recovery,drift_0,0.10999914928014567,1.0,0.5822953020139583,0.007602863095099964,,,,,
standard,0,Retrocalcarine cortex RH,recovery,drift_1,0.03214100824584312,1.0,0.7944877494604318,0.0097880329630517,,,,,
standard,0,Retrocalcarine cortex RH,recovery,diffusion,0.4170569091124481,1.0,-0.2909399557732794,-0.014944829041206517,,,,,
standard,1,Superior longitudinal fasciculus II mid-posterior RH,baseline,drift_0,0.7112370759346689,1.0,0.13213178058053332,0.0022840348443927128,,,,,
standard,1,Superior longitudinal fasciculus II mid-posterior RH,baseline,drift_1,0.486668987349962,0.9752427456875951,0.24901264210650714,0.004774780277901537,,,,,
standard,1,Superior longitudinal fasciculus II mid-posterior RH,baseline,diffusion,0.9775902370017195,1.0,0.01001453217693578,0.00031708254450188433,,,,,
standard,1,Superior longitudinal fasciculus II mid-posterior RH,stimulation,drift_0,0.698432129952365,1.0,-0.13830137496147019,-0.002053909980469379,,,,,
standard,1,Superior longitudinal fasciculus II mid-posterior RH,stimulation,drift_1,0.4011717351809847,0.9620605546260617,-0.30109344420462164,-0.004041298430519531,,,,,
