analysis_type,roi_index,roi_label,comparison,coefficient,p_value,p_value_fdr,p_value_bonferroni,p_value_used,cohens_d,active_mean,active_std,sham_mean,sham_std,mean_difference,t_statistic,active_change_mean,active_change_std,sham_change_mean,sham_change_std,change_difference,p_value_active_vs_zero,p_value_sham_vs_zero,effect_size_category,active_change_direction,sham_change_direction
baseline_corrected,565,Middle frontal gyrus posterior LH,stimulation_minus_baseline,drift_0,0.00023916590727632474,0.24490588905095653,0.24490588905095653,0.00023916590727632474,1.4741493458657138,0.007760818647357506,0.01500230477862766,-0.012431576580567164,0.012254900322994535,0.02019239522792467,4.169523995773438,0.007760818647357506,0.01500230477862766,-0.012431576580567164,0.012254900322994535,0.02019239522792467,0.05620948419890758,0.0010311190927931662,large,increase,decrease
standard,896,Cerebellum V,stimulation,diffusion,0.0003586108374767254,0.3672174975761668,0.3672174975761668,0.0003586108374767254,1.4222848220372069,0.15440055723334833,0.037063391408563504,0.10990234721007763,0.02416580281111366,0.0444982100232707,4.022828969764843,,,,,,,,large,N/A,N/A
baseline_corrected,539,Superior longitudinal fasciculus III posterior LH,stimulation_minus_baseline,drift_1,0.0004854457702191854,0.49709646870444585,0.49709646870444585,0.0004854457702191854,1.3832588579837362,0.009890083487314438,0.015244217370812295,-0.010173427853682913,0.01372502354253595,0.02006351134099735,3.9124468744666383,0.009890083487314438,0.015244217370812295,-0.010173427853682913,0.01372502354253595,0.02006351134099735,0.020295796514725368,0.009636493745197408,large,increase,decrease
baseline_corrected,238,Anterior insula anterior RH,stimulation_minus_baseline,drift_0,0.0010303042993496953,0.527515801267044,1.0,0.0010303042993496953,1.2851107907964525,0.009458239065136957,0.016623265702067274,-0.00922683354914607,0.012102495705643021,0.018685072614283024,3.6348422189927128,0.009458239065136957,0.016623265702067274,-0.00922683354914607,0.012102495705643021,0.018685072614283024,0.03794868513740693,0.008110678465793178,large,increase,decrease
standard,145,Inferior longitudinal fasciculus middle RH,baseline,drift_0,0.0011750820074160162,1.0,1.0,0.0011750820074160162,1.2677606631835974,-0.03642972233666152,0.016753273727802213,-0.054114892630959865,0.010417716446954434,0.017685170294298343,3.5857686474347052,,,,,,,,large,N/A,N/A
standard,501,Cerebellum Crus II RH,baseline,drift_0,0.0012002066648209837,0.6145058123883437,1.0,0.0012002066648209837,1.2649626886701977,-0.036386912998055104,0.011423322445788541,-0.05390061224848591,0.015902467945043585,0.01751369925043081,3.5778547804266565,,,,,,,,large,N/A,N/A
baseline_corrected,264,Precentral sulcus mid-superior RH,stimulation_minus_baseline,drift_0,0.0012057410197137556,0.4115596013956286,1.0,0.0012057410197137556,1.2643540008294185,0.006556465126018482,0.011076567639250358,-0.00839239850710448,0.012525633880929072,0.014948863633122964,3.576133151227294,0.006556465126018482,0.011076567639250358,-0.00839239850710448,0.012525633880929072,0.014948863633122964,0.03176578646386331,0.017129347021185643,large,increase,decrease
baseline_corrected,145,Inferior longitudinal fasciculus middle RH,recovery_minus_baseline,drift_0,0.0013583500418810962,1.0,1.0,0.0013583500418810962,-1.2485560122710553,-0.025918611029369168,0.031028903279893646,0.005193012575053217,0.016704160639279767,-0.031111623604422385,-3.5314496918723894,-0.025918611029369168,0.031028903279893646,0.005193012575053217,0.016704160639279767,-0.031111623604422385,0.004465023104961323,0.23275909407943385,large,decrease,increase
baseline_corrected,840,Posterior orbital gyrus RH,stimulation_minus_baseline,drift_1,0.001377635296281057,0.7053492716959012,1.0,0.001377635296281057,1.2466833172092335,0.015283412819598956,0.014852018810979611,-0.002794333777502166,0.014140599277847143,0.01807774659710112,3.5261529103631553,0.015283412819598956,0.014852018810979611,-0.002794333777502166,0.014140599277847143,0.01807774659710112,0.0009157235021028214,0.44158766336260935,large,increase,decrease
baseline_corrected,1000,Cerebellum VI RH,stimulation_minus_baseline,drift_1,0.001445362547321001,0.493350416152235,1.0,0.001445362547321001,-1.2403019065470702,-0.009004489540051825,0.017718051390718362,0.012576839232366358,0.01707614995135089,-0.021581328772418182,-3.5081035553521476,-0.009004489540051825,0.017718051390718362,0.012576839232366358,0.01707614995135089,-0.021581328772418182,0.06016218976474741,0.010013281728461788,large,decrease,increase
