roi_idx,condition,period,free_energy_change
0,active,stimulation,-0.09543025063097055
0,sham,stimulation,-0.02527493197276609
1,active,stimulation,0.04194625233374838
1,sham,stimulation,0.004450535807867695
2,active,stimulation,0.034328350154692266
2,sham,stimulation,-0.012275109766408221
3,active,stimulation,-0.22695570816418176
3,sham,stimulation,-0.0578988662084674
4,active,stimulation,-0.04966305499057366
4,sham,stimulation,-0.05449294414264294
5,active,stimulation,0.06286874760329164
5,sham,stimulation,0.005692805315725025
6,active,stimulation,-0.09120748807725576
6,sham,stimulation,-0.1747364205373514
7,active,stimulation,0.060634067632375555
7,sham,stimulation,-0.013474879618987856
8,active,stimulation,0.023682073334780007
8,sham,stimulation,-0.04380289098579526
9,active,stimulation,-0.07911518027294484
9,sham,stimulation,0.04285972311802411
10,active,stimulation,-0.054244427872635725
10,sham,stimulation,-0.07901793501691579
11,active,stimulation,0.00993938006052586
11,sham,stimulation,-0.06254522376496574
12,active,stimulation,-0.03055990133456321
12,sham,stimulation,-0.10472925475817307
13,active,stimulation,-0.13117733958515565
13,sham,stimulation,-0.09364869145676069
14,active,stimulation,-0.1301780099864409
14,sham,stimulation,-0.0835213764433611
15,active,stimulation,-0.04721643101058293
15,sham,stimulation,-0.04484483579423593
16,active,stimulation,0.046562294831984374
16,sham,stimulation,0.00769342368341519
17,active,stimulation,-0.04164454639827797
17,sham,stimulation,-0.05968645453570165
18,active,stimulation,-0.021842626538380205
18,sham,stimulation,-0.023670748014920306
19,active,stimulation,0.010624909046639708
19,sham,stimulation,-0.013040092208371767
20,active,stimulation,-0.06365888481808701
20,sham,stimulation,-0.00611447040462032
21,active,stimulation,-0.011614898975864207
21,sham,stimulation,0.024160482835606345
22,active,stimulation,-0.06616635960540851
22,sham,stimulation,-0.044639397848483586
23,active,stimulation,-0.039326044214152756
23,sham,stimulation,0.005288184499692594
24,active,stimulation,-0.11094125643257424
24,sham,stimulation,-0.019212821839397876
25,active,stimulation,-0.016349623686402026
25,sham,stimulation,0.0329846359561774
26,active,stimulation,-0.05156154625730691
26,sham,stimulation,0.0042009374121549925
27,active,stimulation,-0.07841997795388522
27,sham,stimulation,0.04891572280398293
28,active,stimulation,-0.05886029962826722
28,sham,stimulation,0.08445137756491805
29,active,stimulation,-0.021691165296823023
29,sham,stimulation,-0.07555902106410084
30,active,stimulation,-0.05485364788338343
30,sham,stimulation,-0.02306792594926499
31,active,stimulation,-0.0486565465182931
31,sham,stimulation,-0.03861687083745835
32,active,stimulation,-0.05017133385383099
32,sham,stimulation,0.040660977641370444
33,active,stimulation,-0.0458607209280375
33,sham,stimulation,-0.048743439325948934
34,active,stimulation,-0.010387239364174405
34,sham,stimulation,-0.09091213776129203
35,active,stimulation,-0.04413808271830311
35,sham,stimulation,-0.00431044409136927
36,active,stimulation,-0.06114483271356441
36,sham,stimulation,-0.07868721377418986
37,active,stimulation,-0.07635145716044489
37,sham,stimulation,-0.032935543397351275
38,active,stimulation,-0.038988374478665655
38,sham,stimulation,-0.022824202287670126
39,active,stimulation,-0.04920104502577738
39,sham,stimulation,0.008364902083206616
40,active,stimulation,0.019830211260960517
40,sham,stimulation,-0.001365635165946344
41,active,stimulation,-0.1021845303283353
41,sham,stimulation,-0.0560287586993935
42,active,stimulation,-0.1492035715489708
42,sham,stimulation,-0.07405761787815734
43,active,stimulation,-0.05679892008324838
43,sham,stimulation,0.008171148935806727
44,active,stimulation,-0.11870005196905353
44,sham,stimulation,-0.13933748806898683
45,active,stimulation,-0.029316503907960367
45,sham,stimulation,-0.05288438174634713
46,active,stimulation,-0.06272495232845321
46,sham,stimulation,0.027905617869665722
47,active,stimulation,-0.04087759268804003
47,sham,stimulation,-0.022779189348640205
48,active,stimulation,-0.1271666490094545
48,sham,stimulation,0.036303568715084555
49,active,stimulation,-0.27480840180474786
49,sham,stimulation,-0.05302755513895008
50,active,stimulation,-0.09809355931484998
50,sham,stimulation,0.06472576924488394
51,active,stimulation,-0.041746373708789974
51,sham,stimulation,0.055523753159716804
52,active,stimulation,-0.10109723135492477
52,sham,stimulation,-0.05101727529089084
53,active,stimulation,-0.19633518778052705
53,sham,stimulation,-0.06470359446910745
54,active,stimulation,0.029640525178300514
54,sham,stimulation,-0.039044627702092605
55,active,stimulation,-0.12468572072583939
55,sham,stimulation,-0.0855620066216658
56,active,stimulation,0.07143023635844026
56,sham,stimulation,-0.026775233077807492
57,active,stimulation,-0.03125093538563739
57,sham,stimulation,-0.017394813213518212
58,active,stimulation,0.06409322927684746
58,sham,stimulation,0.07643803602956067
59,active,stimulation,-0.024286648942586364
59,sham,stimulation,-0.010568115192001848
60,active,stimulation,-0.05297978839981621
60,sham,stimulation,0.013103039874287958
61,active,stimulation,0.03985732903506989
61,sham,stimulation,0.03150475898251237
62,active,stimulation,-0.11284419404063462
62,sham,stimulation,-0.16503349016364677
63,active,stimulation,-0.07722374155305767
63,sham,stimulation,0.07020196636063236
64,active,stimulation,0.009557567531683908
64,sham,stimulation,0.0035947543733056975
65,active,stimulation,-0.008064309555174454
65,sham,stimulation,0.06833517798054345
66,active,stimulation,-0.026081345043922788
66,sham,stimulation,0.043900053783189286
67,active,stimulation,-0.00794852118167988
67,sham,stimulation,0.03472128044386835
68,active,stimulation,-0.0017967535506082655
68,sham,stimulation,0.0020560152324540226
69,active,stimulation,-0.051464532001014085
69,sham,stimulation,0.02885765945336427
70,active,stimulation,0.021090620067715005
70,sham,stimulation,-0.11670444089107024
71,active,stimulation,-0.06489196579479461
71,sham,stimulation,0.018852150000166823
72,active,stimulation,-0.0016102243638140834
72,sham,stimulation,0.039602454342834825
73,active,stimulation,0.040518106951351385
73,sham,stimulation,-0.07577772297913699
74,active,stimulation,-0.09736380403976197
74,sham,stimulation,0.062324130146440115
75,active,stimulation,0.02842076443885455
75,sham,stimulation,-0.0010916031764551803
76,active,stimulation,0.022834149870009757
76,sham,stimulation,-0.02412245233544219
77,active,stimulation,-0.07311031135571389
77,sham,stimulation,-0.05294004030609667
78,active,stimulation,-0.27039468757950935
78,sham,stimulation,-0.17122410861683557
79,active,stimulation,-0.0101587299024537
79,sham,stimulation,-0.0580870723355682
80,active,stimulation,-0.12159029693045831
80,sham,stimulation,-0.09649102142983601
81,active,stimulation,-0.05059979202360454
81,sham,stimulation,0.029290690256047025
82,active,stimulation,-0.0003334281011038165
82,sham,stimulation,-0.03950905666469984
83,active,stimulation,0.017274330737210075
83,sham,stimulation,0.02380493505899617
84,active,stimulation,-0.010780842098524701
84,sham,stimulation,0.0082108053344645
85,active,stimulation,-0.020343405189011676
85,sham,stimulation,-0.05553202614066688
86,active,stimulation,-0.11008356190004376
86,sham,stimulation,-0.08770024903887208
87,active,stimulation,2.579144813896761e-05
87,sham,stimulation,-0.01610627699315792
88,active,stimulation,0.0031051900386129816
88,sham,stimulation,-0.13147967164449614
89,active,stimulation,0.04472202690966842
89,sham,stimulation,-0.05501967182191736
90,active,stimulation,-0.04414572868419908
90,sham,stimulation,-0.044038721697920113
91,active,stimulation,0.041379057815364995
91,sham,stimulation,-0.04587234497667447
92,active,stimulation,-0.05419744362654155
92,sham,stimulation,-0.04217601260174586
93,active,stimulation,-0.10947400808904151
93,sham,stimulation,0.022025029440086108
94,active,stimulation,-0.09868694198796302
94,sham,stimulation,-0.026750834611985574
95,active,stimulation,-0.04355758869482784
95,sham,stimulation,-0.10096146091619795
96,active,stimulation,0.04097402829760455
96,sham,stimulation,0.0266266535192079
97,active,stimulation,-0.00361293745182234
97,sham,stimulation,0.00960407291454679
98,active,stimulation,-0.15920927425913822
98,sham,stimulation,-0.17457018129223245
99,active,stimulation,-0.02007362695488668
99,sham,stimulation,-0.0984210982846121
100,active,stimulation,-0.03255833967323607
100,sham,stimulation,-0.06117300207415255
101,active,stimulation,-0.040875898661924204
101,sham,stimulation,0.006699857475783055
102,active,stimulation,-0.0019454964333975866
102,sham,stimulation,0.03263054243217489
103,active,stimulation,0.03425866888698259
103,sham,stimulation,-0.11186640642251255
104,active,stimulation,0.02861984839735232
104,sham,stimulation,0.008486882958123054
105,active,stimulation,0.03415461627193084
105,sham,stimulation,-0.011548336059674646
106,active,stimulation,-0.09259652973180632
106,sham,stimulation,0.015471558242279748
107,active,stimulation,0.004307301324748547
107,sham,stimulation,0.0035929624843094032
108,active,stimulation,-0.14402049538045425
108,sham,stimulation,0.008344986527600184
109,active,stimulation,0.04949950264233394
109,sham,stimulation,-0.03317857475529529
110,active,stimulation,0.028403655928612714
110,sham,stimulation,0.019346143787161374
111,active,stimulation,0.012217476295267815
111,sham,stimulation,0.012651982815580887
112,active,stimulation,-0.0130931769369802
112,sham,stimulation,0.051420652190453
113,active,stimulation,-0.04336892302008044
113,sham,stimulation,-0.06648445298136219
114,active,stimulation,0.0009333678085141628
114,sham,stimulation,0.03870473339753566
115,active,stimulation,0.020414756239823362
115,sham,stimulation,-0.020377788504659655
116,active,stimulation,-0.068880379822295
116,sham,stimulation,-0.04374382291142398
117,active,stimulation,-0.2018629503341245
117,sham,stimulation,-0.202646693491221
118,active,stimulation,-0.11032159323417501
118,sham,stimulation,-0.004997228016321742
119,active,stimulation,0.05672895724581828
119,sham,stimulation,-0.03911530617605363
120,active,stimulation,-0.019839614876938416
120,sham,stimulation,-0.01724233302189848
121,active,stimulation,-0.06330085021890142
121,sham,stimulation,-0.0539256457778019
122,active,stimulation,0.006438736652049748
122,sham,stimulation,-0.025151641407492598
123,active,stimulation,-0.07655815432894464
123,sham,stimulation,-0.001015155676821422
124,active,stimulation,0.028032341596254007
124,sham,stimulation,0.002388441187667567
125,active,stimulation,-0.060386739489951324
125,sham,stimulation,0.005555964202488717
126,active,stimulation,-0.03049790064139879
126,sham,stimulation,-0.09313545951879343
127,active,stimulation,-0.030118591246393045
127,sham,stimulation,-0.06699006922923978
128,active,stimulation,0.023306238160909043
128,sham,stimulation,-0.049197897120417444
129,active,stimulation,-0.02918874748429534
129,sham,stimulation,0.019753414865760988
130,active,stimulation,-0.037550401865821925
130,sham,stimulation,0.029063608820633746
131,active,stimulation,-0.04649928952013305
131,sham,stimulation,0.05937160956757115
132,active,stimulation,-0.009346215607720865
