network,time_window,n_sham,n_active,mean_sham,mean_active,diff_active_minus_sham,t_stat,p_value,p_fdr
Visual,fus,16,16,-0.026088047542035028,0.01596873759905884,0.04205678514109387,0.8848972050762668,0.383464143600209,0.41296138541560967
Visual,post,16,16,-0.02729728820008614,0.044104319058067734,0.07140160725815388,1.1296490707515892,0.2682812395570259,0.39109404175421447
Control,fus,16,16,-0.11308092443110981,0.07540935256443013,0.18849027699553994,3.138121012069171,0.003862782885759266,0.053756296914492775
Control,post,16,16,-0.07451147482938006,0.0947161974419487,0.16922767227132876,2.8592072653773237,0.007679470987784682,0.053756296914492775
Default Mode,fus,16,16,0.14476512926824958,0.08733090972159449,-0.05743421954665509,-0.9602708378008717,0.34497544516298884,0.40247135269015366
Default Mode,post,16,16,0.15347380954555623,0.11427963964943669,-0.03919416989611954,-0.7220273136626013,0.47614547460079926,0.47614547460079926
Dorsal Attention,fus,16,16,-0.06661984936781395,-0.006529395319115536,0.06009045404869842,1.0356903272248243,0.3092737963777205,0.3936211953898261
Dorsal Attention,post,16,16,-0.06119002607256376,0.016638914386277476,0.07782894045884124,1.103115431576646,0.27935288696729604,0.39109404175421447
Limbic,fus,16,16,-0.11478048944491007,-0.02665193928454901,0.08812855016036106,1.345189129165888,0.18917853758486242,0.33106244077350927
Limbic,post,16,16,-0.10718004284919504,-0.014330058614037362,0.09284998423515767,1.4446668793490716,0.1599978093223681,0.33106244077350927
Salience,fus,16,16,-0.11921142060357229,0.01213628523868479,0.13134770584225708,2.0414400272742212,0.05008939172907054,0.16713930866618862
Salience,post,16,16,-0.11661465016442404,0.03710033463249277,0.1537149847969168,1.9574023829986062,0.05969261023792451,0.16713930866618862
Somatomotor,fus,16,16,-0.08076151086270257,0.014861314034662709,0.09562282489736527,1.4132814052598173,0.1683995861392467,0.33106244077350927
Somatomotor,post,16,16,-0.0992568530311608,0.0748522214444568,0.1741090744756176,2.32818639635618,0.026975090259253903,0.1258837545431849
